span,img_urls,ctype,index,block_num,merge_contents,doc_group,h1,h2,h3
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,8_12, OBC: On Board ChargerLDC: Low Voltage DC-DC converterVCU: Vehicle Control Unit,5,전기차 시작하기,전기 자동차 개요,전기 자동차의 주요 장치
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,8_15," 고전압 부품 및 구동용(고전압) 배터리의 배선, 커넥터를 임의로 분리, 분해하지 마십시오. 또한, 고전압 부품 및 구동용(고전압) 배터리를 손상시키지 마십시오. 감전 등의 사고가 발생해 심각한 부상을 입을 수 있으며차량의 성능 및 내구에 영향을 줄 수 있습니다. 고전압 부품 및 구동용(고전압) 배터리의 점검 및 정비가 필요할 경우 반드시 당사 직영하이테크센터나 블루핸즈에서 점검을 받으십시오.",5,전기차 시작하기,전기 자동차 개요,전기 자동차의 주요 장치
"""('HyundaiSansTextKRMedium', 13416, 14)""",,text,h2,9_0,구동용(고전압) 배터리,6,전기차 시작하기,구동용(고전압) 배터리,
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,9_1,구동용(고전압) 배터리 (리튬 이온 배터리),7,전기차 시작하기,구동용(고전압) 배터리,구동용(고전압) 배터리 (리튬 이온 배터리)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,9_2," 차량을 주행하지 않아도 구동용(고전압) 배터리 잔량이 서서히 감소될 수 있습니다.  최고/최저 온도에서 차량을 보관할 경우 구동용(고전압) 배터리 용량이 저하될 수 있습니다. 충전량이 동일하여도 주행 조건(외기 온도등)에 따라 주행 가능 거리 또는 출력이 변합니다. 고속 주행이나 오르막길 주행은 평상시보다 구동용(고전압) 배터리의 소비가 증가하여 주행 가능 거리가 짧아질 수 있습니다. 냉난방 기능 사용 시 구동용(고전압) 배터리전력을 사용하기 때문에 주행 가능 거리가짧아집니다. 냉난방 기능 사용 시 적정 온도를 유지하십시오. 차량 사용 기간에 따라 구동용(고전압) 배터리의 자연 열화가 발생하며, 이에 따라 주행가능 거리가 감소합니다. 충전량 및 주행 가능 거리가 계속해서 감소할 경우 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오. 장기간 차량을 사용하지 않을 경우 구동용(고전압) 배터리가 방전되는 것을 막기 위해,약 3개월에 한번씩 충전하십시오. 또한 충전량이 부족할 경우에는 즉시 충전 후 차량을보관하십시오. 배터리의 최적 상태 유지를 위해 완속 충전을 권장합니다.배터리 충전량이 20% 이하일때 100%까지충전을 하면 배터리 성능을 최적의 상태로유지 할 수 있습니다. (월 1회 이상 권장)  구동용(고전압) 배터리의 충전 상태(충전기상태, 외기 온도, 배터리 온도 등)에 따라 충전량 표시계에 표기되는 충전 전력값이 낮아질 수 있습니다. 구동용(고전압) 배터리는 일정량을 충전하면 배터리의 수명 또는 안전상의 이유로 전류를 서서히 낮추어 완전히 충전합니다.",7,전기차 시작하기,구동용(고전압) 배터리,구동용(고전압) 배터리 (리튬 이온 배터리)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,9_4," 구동용 배터리 충전계 게이지가 10% 이하로내려가지 않도록 하십시오. 충전량이 부족한상태에서 차량을 장기간 보관하면 배터리가손상되거나 용량 저하의 상태에 따라 배터리교환이 필요할 수 있습니다. 차량이 큰 충격을 받을 정도의 충돌이 발생한 경우, 당사 직영 하이테크센터나 블루핸즈에서 배터리 연결 상태 점검을 받으십시오. V2L 기능을 사용하면 고전압 배터리 에너지의 사용으로 주행거리가 감소될 수 있으며,반복 사용 시 고전압배터리 수명 감소의 원인이 될 수 있습니다.",7,전기차 시작하기,구동용(고전압) 배터리,구동용(고전압) 배터리 (리튬 이온 배터리)
"""('HyundaiSansTextKRMedium', 13416, 14)""",,text,h2,10_0,EV 모드,8,전기차 시작하기,EV 모드,
,./image/ioniq5_2024/10_1_img.jpeg,image,,10_1,,8,전기차 시작하기,EV 모드,
"""('HyundaiSansTextKR', 0, 9)""",,text,,10_2,"인포테인먼트(오디오, 비디오, 내비게이션) 홈 화면에서 ‘EV’ 메뉴를 선택하면 EV 모드로 진입합니다.",8,전기차 시작하기,EV 모드,
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,10_3,EV 모드 화면 구성 ,9,전기차 시작하기,EV 모드,EV 모드 화면 구성 
,./image/ioniq5_2024/10_4_img.png,image,,10_4,,9,전기차 시작하기,EV 모드,EV 모드 화면 구성 
"""('HyundaiSansTextKR', 0, 9)""",,text,,10_6,(1) 솔라 루프 정보(2) 에너지 정보(3) 다음 출발 시간(4) 예약 충전 및 공조(5) 전기 사용 설정 (V2L)(6) 충전소 검색(7) EV 설정(8) 메뉴,9,전기차 시작하기,EV 모드,EV 모드 화면 구성 
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,11_0,솔라 루프 정보,10,전기차 시작하기,EV 모드,솔라 루프 정보
,./image/ioniq5_2024/11_1_img.jpeg,image,,11_1,,10,전기차 시작하기,EV 모드,솔라 루프 정보
,./image/ioniq5_2024/11_3_img.png,image,,11_3,,10,전기차 시작하기,EV 모드,솔라 루프 정보
"""('HyundaiSansTextKR', 0, 8)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,11_4,화면에서 ‘솔라 루프 정보’를 선택하면 솔라 루프에 의한 배터리 충전량을 확인할 수 있습니다. 자세한 내용은 5장 ‘솔라루프’를 참고하십시오.,10,전기차 시작하기,EV 모드,솔라 루프 정보
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,11_5,에너지 정보,11,전기차 시작하기,EV 모드,에너지 정보
,./image/ioniq5_2024/11_6_img.jpeg,image,,11_6,,11,전기차 시작하기,EV 모드,에너지 정보
"""('HyundaiSansTextKR', 0, 9)""",,text,,11_7,화면에서 차량 이미지를 선택하십시오. 배터리정보를 확인할 수 있습니다. ,11,전기차 시작하기,EV 모드,에너지 정보
,./image/ioniq5_2024/11_8_img.png,image,,11_8,,11,전기차 시작하기,EV 모드,에너지 정보
"""('HyundaiSansTextKR', 0, 9)""",,text,,11_9,"현재 남은 배터리로 주행 가능 거리, 남은 배터리량, 충전 방식에 따른 충전 예상 소요 시간을확인할 수 있습니다.  주행 가능 거리는 실시간 주행 연비와 외기온도를 기준으로 측정된 예상 거리입니다.주행 패턴이 달라지면 주행 가능 거리가 달라질 수 있습니다. 주행 패턴의 변화에 따라, 동일한 충전 목표량을 설정한 경우에도 표시되는 예상 주행가능 거리가 달라질 수 있습니다.",11,전기차 시작하기,EV 모드,에너지 정보
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,12_0,다음 출발 시간,12,전기차 시작하기,EV 모드,다음 출발 시간
,./image/ioniq5_2024/12_1_img.jpeg,image,,12_1,,12,전기차 시작하기,EV 모드,다음 출발 시간
"""('HyundaiSansTextKR', 0, 9)""",,text,,12_2,화면에서 ‘다음 출발 시간’을 선택하십시오.출발 시간에 맞춰 자동으로 배터리를 충전하거나 실내 온도를 조절하는 기능을 설정할 수 있습니다.,12,전기차 시작하기,EV 모드,다음 출발 시간
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,12_3,출발 일정 설정,13,전기차 시작하기,EV 모드,다음 출발 시간
,./image/ioniq5_2024/12_4_img.png,image,,12_4,,13,전기차 시작하기,EV 모드,다음 출발 시간
,./image/ioniq5_2024/12_6_img.jpeg,image,,12_6,,13,전기차 시작하기,EV 모드,다음 출발 시간
"""('HyundaiSansTextKR', 0, 9)""",,text,,12_8,(1) 출발 시간: 충전 후 차량 출발 예정 시간 입력(2) 요일 반복: 예약 충전 및 예약 공조를 희망하는 요일 선택,13,전기차 시작하기,EV 모드,다음 출발 시간
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,12_9,예약 충전 및 공조,14,전기차 시작하기,EV 모드,예약 충전 및 공조
,./image/ioniq5_2024/12_10_img.jpeg,image,,12_10,,14,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKR', 0, 8)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,12_11,화면에서 ‘예약 충전 및 공조’를 선택하십시오.,14,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,12_13, 예약 충전을 위해 예약 시점에 차량이 충전기와충전 케이블로 연결되어 있어야 합니다.,14,전기차 시작하기,EV 모드,예약 충전 및 공조
,./image/ioniq5_2024/12_15_img.png,image,,12_15,,14,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKR', 0, 9)""",,text,,12_16,"사용자가 선택한 요일의 예약 시간 및 희망 온도에 맞춰 배터리 충전 및 공조 시스템(히터 및에어컨)이 자동으로 작동될 수 있도록 설정할수 있습니다. 또한, 예약 충전 할인 시간을 적용하여 충전 시작 시간을 설정 할 수 있습니다.",14,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,13_0,예약 충전 할인 시간 설정,15,전기차 시작하기,EV 모드,예약 충전 및 공조
,./image/ioniq5_2024/13_1_img.jpeg,image,,13_1,,15,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKR', 0, 9)""",,text,,13_2,1. 시작 시간: 전기 요금이 가장 저렴한 시간대의 시작 시간2. 종료 시간: 전기 요금이 가장 저렴한 시간대의 종료 시간3. 충전 모드: 할인 시간 우선 충전: 할인 시간대에 충전을 진행합니다. 목표 충전량을 채우기 위해 할인 외 시간대에도 충전이 진행될 수있습니다. 할인 시간에만 충전: 할인 시간대에 충전을 진행합니다. 할인 시간대에만 충전이진행되므로 목표 충전량까지 충전되지 않을 수 있습니다.,15,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,13_3,예약 공조 설정,16,전기차 시작하기,EV 모드,예약 충전 및 공조
,./image/ioniq5_2024/13_4_img.png,image,,13_4,,16,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKR', 0, 9)""",,text,,13_5,"1. 공조 온도 설정: 희망 온도를 입력하십시오. 겨울철 충전 케이블이 연결된 상태에서 예약 공조를 통해 희망 온도를 설정하면 구동용(고전압) 배터리 충전량 손실 없이 실내 난방이 가능하며, 구동용(고전압) 배터리 내부 온도를 상승시켜 전기차 성능을향상시키는 데에 도움을 줄 수 있습니다.",16,전기차 시작하기,EV 모드,예약 충전 및 공조
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,14_0,전기 사용 설정 (V2L),17,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,14_1,차량의 구동용(고전압) 배터리를 이용하여 여러 전기 제품의 작동에 필요한 AC 전원을 공급합니다.,17,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,14_3, V2L은 Vehicle To Load의 약자입니다. ,17,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,14_5, 화면에서 ‘전기 사용 설정’을 선택하면 구동용(고전압) 배터리의 방전 제한량(%)을 설정할 수 있습니다. ,17,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/14_6_img.jpeg,image,,14_6,,17,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,14_7, 설정한 방전 제한량(%)에 도달하면 전기 공급을 자동으로 차단합니다.,17,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/14_8_img.png,image,,14_8,,17,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,14_10,에너지 정보 확인 인포테인먼트 시스템의 EV 모드 > 에너지 정보화면에서 배터리의 방전량을 확인할 수 있습니다.,18,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,14_11,연결 방법,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 9)""",,text,,14_12,실외,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/14_13_img.jpeg,image,,14_13,,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,14_14,"1. V2L 커넥터의 콘센트 덮개를 여십시오. 2. 가전제품 및 전기 제품을 콘센트에 연결한후, 덮개를 닫으십시오. ",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,14_16,"제품 플러그의 형상에 따라, V2L 커넥터의콘센트 덮개가 완전히 닫히지 않을 수 있습니다. 콘센트 덮개가 닫히지 않으면, 안전을위해 비 또는 눈이 오는 날에는 V2L 커넥터를 사용하지 마십시오. 화재 및 부상의 위험이 있습니다.",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,14_18,"3. V2L 커넥터를 차량의 충전구에 연결하십시오.4.V2L 커넥터의 스위치(1)를 눌러 조명(2)이 켜졌는지 확인하십시오. 사용이 불가능할 경우, 조명(2)이 켜지지 않습니다. 아래 내용을확인하십시오.  ‘전기 사용 설정’ 화면에서 구동용(고전압)배터리의 방전 제한량(%)을 확인하십시오. 방전 제한량(%)이 현재의 고전압 배터리량보다 높을 경우 작동되지 않습니다. V2L 커넥터 또는 실내 콘센트의 조명이 켜졌는지 확인하십시오.",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,15_0," 클러스터 표시창에 V2L 관련 경고문이 표시되면, 해당 경고문 설명 내용을 확인하십시오. 다른 가전제품을 연결했을 때 이전과 동일하게 V2L이 작동되지 않으면, 가까운 지사 직영 하이테크센터나 블루핸즈에서 점검 및 정비를 받으십시오.5. 사용 종료 시 V2L 커넥터의 스위치(1)를 눌러조명(2)을 끄십시오. 조명(2)이 꺼지면 차량도어 잠금 해제 버튼을 눌러 충전 커넥터 잠금이 해제되면, V2L 커넥터를 분리하십시오. ",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,15_2, 충전구 커버가 열린 후 60초 이내에 V2L 커넥터를 충전구에 연결하십시오. 체결 후 도난 방지를 위해 자동 잠금으로 전환되어 커넥터 분리가 불가능합니다.V2L 사용시에는 예약 공조 설정을 해제하여 주십시오. 예약 공조 동작 조건에 의하여 V2L 동작이 차단될 수 있습니다.,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 9)""",,text,,15_4,실내,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,15_5,1. 시동 ‘ON’ 또는 유틸리티 모드 활성화 상태에서 뒷좌석 시트 하단의 실내 콘센트에 연결합니다.,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/15_6_img.jpeg,image,,15_6,,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,15_8,2. 사용 전 스마트 키를 활용하여 커버의 잠금장치를 해제하십시오. ,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/15_9_img.jpeg,image,,15_9,,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,15_10,3. 콘센트의 전면 인디게이터를 통해 작동 상태를 확인할 수 있습니다. ,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/15_11_img.jpeg,image,,15_11,,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,15_13, 블루: 사용 대기 상태 레드: 콘센트가 연결되어 있으나 전력 공급은 되지 않는 상태 그린: 콘센트가 정상 연결되어 전력이 정상적으로 공급되어지는 상태,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,15_15,  시동 ‘ON’ 상태에서 실내 V2L 사용 중 시동이 꺼지면 자동으로 V2L 방전모드가 중지됩니다.  실내 V2L 사용 중 충전 도어를 열거나 V2L커넥터를 충전구에 연결하면 자동으로 V2L방전 모드가 차단됩니다. 차량 내/외부에서동시에 V2L 사용을 원할 경우 먼저 V2L 커넥터를 충전구에 연결 후 실내 V2L을 사용하십시오.,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,16_1," 사고 방지를 위하여 매뉴얼의 내용을 충분히숙지하십시오. 과열 시 자동으로 V2L 방전 모드가 차단됩니다. (방전 모드 차단 시 V2L 커넥터, 전원 플러그의 오염, 마모, 부식, 파손 여부를 점검하십시오. 일정 시간 방치 후 적정 온도로 떨어지면 다시 사용할 수 있습니다. 정상 가전 제품을 사용하십시오.)  제공된 V2L 커넥터를 임의로 개조, 분해하지마십시오. 개조, 분해로 인한 고장은 보증하지 않습니다. V2L 커넥터를 떨어뜨리거나, 강한 충격을 주지 마십시오. V2L 커넥터 위에 물건을 올려 놓지 마십시오. V2L 사용 종료 시 반드시 V2L 커넥터를 차량에서 분리하십시오.  고전압 배터리 충전량이 설정한 방전 제한량(%)에 도달하면 동작이 중지되며 클러스터표시창에 경고문이 표시됩니다. V2L 동작을원하는 경우 방전 제한량을 현재 배터리 충전량보다 낮추어 설정 하십시오 각종 전기 제품 사용 시, 차량에서 공급 가능한 최대 전력 용량 이하로 사용하십시오. 차량에서 공급 가능한 최대 전력 용량을 초과하는 전기 제품을 사용할 경우 동작이 정지되며 클러스터 표시창에 경고문이 표시됩니다. 사용하는 전기 제품의 총 소비 전력이V2L 최대 전력 용량을 초과하는지 확인하십시오. 일부 전기 제품 중 차량에서 제공하는 최대전력 용량 이하의 소비 전력을 가지는 제품이라도 정상적으로 작동하지 않을 수 있습니다.- 초기 작동 시 높은 전력을 필요로 하는 전기 제품- 정확한 데이터를 처리해야 하는 측정 장치- 인버터 방식의 AC 전원 공급 장치에 민감한 전기 제품(인버터 : DC 전원을 AC 전원으로 변환하는 장치)",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,16_2," 의료장비 등 지속적인 전원 공급을 필요로하는 제품은 사용하지 마십시오. 차량 상태에 따라 전원공급이 중단될 수 있습니다. 전원 플러그는 완전히 삽입하고 규격에 맞는플러그만 사용하십시오. 마모, 부식, 파손 등손상된 플러그를 사용하거나 규격에 맞지 않는 플러그를 사용하면 고장의 원인이 됩니다. 접지가 있는 전원 플러그를 사용하십시오. 가전제품을 전선에 매달아 사용하지 마십시오. 콘센트에 연결하여 사용하는 각종 기기는 국가의 안전 인증을 받은 제품만 사용하십시오. 사용방법, 주의 사항은 해당 기기의 매뉴얼을 참고하십시오. (전기 제품, 멀티 콘센트, 코드 연장 케이블 등) 차량 실외에서 사용하는 각종 기기는 방수기능이 적용된 제품을 사용하거나, 방수 조치된 환경에서 사용하십시오. 빗물이 떨어지거나, 습기가 많은 환경에서 사용하지 마십시오. (전기 제품, 멀티 콘센트, 코드 연장 케이블 등) 낙뢰(번개)가 칠 우려가 있을 경우에는 차량실외 V2L 기능을 사용하지 마십시오. 이동형 멀티 콘센트를 여러 개 연결하여 사용하지 마십시오. 코드 연장 케이블 사용 시, 케이블이 감겨 있는 경우 발열로 인한 화재의 위험성이 있으므로, 반드시 케이블을 풀어서 사용하십시오.  차량 실외 V2L 커넥터 사용 시, 차량 실내 콘센트에도 전원이 공급됩니다. 사용하지 않는전기 제품은 실내 콘센트에서 플러그를 뽑아주십시오 V2L 사용 시 시동이 꺼져 있더라도 차량 모터룸 내의 냉각 팬이 자동으로 작동할 수 있습니다. V2L 동작 상태에서 냉각 팬에 손을 가까이하지 마십시오.",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,17_1," V2L 커넥터 또는 차량의 충전구 단자 부위를손으로 직접 만지지 마십시오. V2L 커넥터 또는 차량 충전구에 금속 물체를꽂지 마십시오. 감전의 원인이 됩니다. V2L 커넥터, 차량 충전구, 전원 플러그를 젖은 손으로 만지지 마십시오. 감전의 원인이됩니다. 항상 물기나 습기가 없는 건조한 상태로 관리하십시오. V2L 커넥터, 차량 충전구, 전원 플러그에 물이나 먼지 등의 이물질이 없는지 확인 후 연결하십시오. 이물질이 들어간 채 연결하면화재, 감전의 원인이 됩니다.  V2L 커넥터를 개조, 분해하지 마십시오. 화재, 감전, 부상의 위험이 있습니다. 전원 플러그를 V2L 커넥터에 연결하거나 분리할 때 또는 V2L 커넥터 커버 개폐 시 날카로운 부위에 손이 긁힐 우려가 있으니 주의하십시오.",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/17_2_img.jpeg,image,,17_2,,19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,17_3," 다음과 같은 경우에는 충전하지 마십시오.안전사고가 발생할 수 있습니다.- V2L 커넥터, 차량 충전구, 전원 플러그 및케이블에 손상, 부식, 녹이 있는 경우- 연결 부위가 느슨한 경우 가전제품 케이블의 피복이 손상되거나 파손의 징후가 있다면 사용하지 마십시오. 화재,감전, 부상의 위험이 있습니다. 차량 실내에서 전열 전기 제품(전기 주전자,토스트기, 다리미 등)을 사용하지 마십시오.화재, 부상의 위험이 있습니다. ",19,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,17_5,클러스터 표시창 경고문,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 9)""",,text,,17_6,방전 가능 배터리량에 도달하여 V2L을 종료합니다,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/17_7_img.png,image,,17_7,,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,17_8,현재의 고전압 배터리 충전량이 설정한 방전 제한량(%)에 도달하면 동작이 중지되며 경고문이 표시됩니다. V2L 동작을 원하는 경우 방전제한량을 현재 배터리 충전량(%)보다 낮추어설정 하십시오. ,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 9)""",,text,,17_9,사용 전력 초과로 V2L 기능이 중지됩니다,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/17_10_img.png,image,,17_10,,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 0, 9)""",,text,,17_11,차량에서 공급 가능한 최대 전력 용량을 초과하는 전기 제품을 사용할 경우 동작이 정지되며경고문이 표시됩니다. 사용하는 전기 제품의총 소비 전력이 V2L 최대 전력 용량을 초과하는지 확인하십시오.,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
"""('HyundaiSansTextKR', 6908265, 9)""",,text,,18_0,V2L 작동 조건이 아닙니다,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
,./image/ioniq5_2024/18_1_img.png,image,,18_1,,20,전기차 시작하기,EV 모드,전기 사용 설정 (V2L)
