doc_table_contents,question,answer
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:다음 출발 시간
출발 일정 설정
(1) 출발 시간: 충전 후 차량 출발 예정 시간 입력(2) 요일 반복: 예약 충전 및 예약 공조를 희망하는 요일 선택",전기차 시작하기 설명서의 대제목은 무엇인가요?,"전기차 시작하기 설명서의 대제목은 ""전기차 시작하기""입니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:예약 충전 및 공조
예약 충전 및 공조
화면에서 ‘예약 충전 및 공조’를 선택하십시오.
 예약 충전을 위해 예약 시점에 차량이 충전기와충전 케이블로 연결되어 있어야 합니다.
사용자가 선택한 요일의 예약 시간 및 희망 온도에 맞춰 배터리 충전 및 공조 시스템(히터 및에어컨)이 자동으로 작동될 수 있도록 설정할수 있습니다. 또한, 예약 충전 할인 시간을 적용하여 충전 시작 시간을 설정 할 수 있습니다.",전기차 설명서에서 어떤 기능을 선택하면 예약 충전 및 공조가 작동되나요?,"화면에서 '예약 충전 및 공조'를 선택하면 사용자가 선택한 요일의 예약 시간 및 희망 온도에 맞춰 배터리 충전 및 공조 시스템(히터 및 에어컨)이 자동으로 작동됩니다. 또한, 예약 충전 할인 시간을 적용하여 충전 시작 시간을 설정할 수 있습니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:예약 충전 및 공조
예약 충전 할인 시간 설정
1. 시작 시간: 전기 요금이 가장 저렴한 시간대의 시작 시간2. 종료 시간: 전기 요금이 가장 저렴한 시간대의 종료 시간3. 충전 모드: 할인 시간 우선 충전: 할인 시간대에 충전을 진행합니다. 목표 충전량을 채우기 위해 할인 외 시간대에도 충전이 진행될 수있습니다. 할인 시간에만 충전: 할인 시간대에 충전을 진행합니다. 할인 시간대에만 충전이진행되므로 목표 충전량까지 충전되지 않을 수 있습니다.","1. 전기차 시작하기 설명서의 대제목은 무엇인가요?
2. 전기차 시작하기 설명서의 중제목은 무엇인가요?
3. 전기차 시작하기 설명서의 소제목은 무엇인가요?
4. 예약 충전 할인 시간 설정에는 어떤 항목들이 있나요?
5. 할인 시간 우선 충전 모드와 할인 시간에만 충전 모드의 차이점은 무엇인가요?","1. 전기차 시작하기 설명서의 대제목은 ""전기차 시작하기""입니다.
2. 전기차 시작하기 설명서의 중제목은 ""EV 모드""입니다.
3. 전기차 시작하기 설명서의 소제목은 ""예약 충전 및 공조""입니다.
4. 예약 충전 할인 시간 설정에는 ""시작 시간"", ""종료 시간"", ""충전 모드"" 항목이 있습니다.
5. 할인 시간 우선 충전 모드는 할인 시간대에 충전을 진행하면서 목표 충전량을 채우기 위해 할인 외 시간대에도 충전이 진행될 수 있지만, 할인 시간에만 충전 모드는 할인 시간대에만 충전을 진행하므로 목표 충전량까지 충전되지 않을 수 있습니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:예약 충전 및 공조
예약 공조 설정
1. 공조 온도 설정: 희망 온도를 입력하십시오. 겨울철 충전 케이블이 연결된 상태에서 예약 공조를 통해 희망 온도를 설정하면 구동용(고전압) 배터리 충전량 손실 없이 실내 난방이 가능하며, 구동용(고전압) 배터리 내부 온도를 상승시켜 전기차 성능을향상시키는 데에 도움을 줄 수 있습니다.","- 전기차 설명서의 대제목은 무엇인가요?
- 전기차 설명서의 중제목은 무엇인가요?
- 전기차 설명서의 소제목은 무엇인가요?
- 예약 공조 설정을 위해 어떤 온도를 입력해야 하나요?
- 예약 공조를 통해 실내 난방을 할 수 있는 상황은 어떤 경우인가요?
- 예약 공조를 통해 전기차 성능을 향상시킬 수 있는 방법은 무엇인가요?","- 전기차 설명서의 대제목은 ""전기차 시작하기""입니다.
- 전기차 설명서의 중제목은 ""EV 모드""입니다.
- 전기차 설명서의 소제목은 ""예약 충전 및 공조""입니다.
- 예약 공조 설정을 위해 희망 온도를 입력해야 합니다.
- 예약 공조를 통해 실내 난방을 할 수 있는 상황은 겨울철 충전 케이블이 연결된 상태에서 희망 온도를 설정할 수 있는 경우입니다.
- 예약 공조를 통해 전기차 성능을 향상시킬 수 있는 방법은 구동용(고전압) 배터리 내부 온도를 상승시켜 전기차 성능을 향상시킬 수 있습니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:전기 사용 설정 (V2L)
전기 사용 설정 (V2L)
차량의 구동용(고전압) 배터리를 이용하여 여러 전기 제품의 작동에 필요한 AC 전원을 공급합니다.
 V2L은 Vehicle To Load의 약자입니다. 
 화면에서 ‘전기 사용 설정’을 선택하면 구동용(고전압) 배터리의 방전 제한량(%)을 설정할 수 있습니다. 
 설정한 방전 제한량(%)에 도달하면 전기 공급을 자동으로 차단합니다.",전기차의 V2L은 무엇을 의미하나요?,V2L은 전기차의 구동용 배터리를 이용하여 다른 전기 제품에 AC 전원을 공급하는 것을 의미합니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:전기 사용 설정 (V2L)
에너지 정보 확인 인포테인먼트 시스템의 EV 모드 > 에너지 정보화면에서 배터리의 방전량을 확인할 수 있습니다.",전기차의 EV 모드에서 어떤 정보를 확인할 수 있나요?,전기차의 EV 모드에서는 에너지 정보화면에서 배터리의 방전량을 확인할 수 있습니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:전기 사용 설정 (V2L)
연결 방법
실외
1. V2L 커넥터의 콘센트 덮개를 여십시오. 2. 가전제품 및 전기 제품을 콘센트에 연결한후, 덮개를 닫으십시오. 
제품 플러그의 형상에 따라, V2L 커넥터의콘센트 덮개가 완전히 닫히지 않을 수 있습니다. 콘센트 덮개가 닫히지 않으면, 안전을위해 비 또는 눈이 오는 날에는 V2L 커넥터를 사용하지 마십시오. 화재 및 부상의 위험이 있습니다.
3. V2L 커넥터를 차량의 충전구에 연결하십시오.4.V2L 커넥터의 스위치(1)를 눌러 조명(2)이 켜졌는지 확인하십시오. 사용이 불가능할 경우, 조명(2)이 켜지지 않습니다. 아래 내용을확인하십시오.  ‘전기 사용 설정’ 화면에서 구동용(고전압)배터리의 방전 제한량(%)을 확인하십시오. 방전 제한량(%)이 현재의 고전압 배터리량보다 높을 경우 작동되지 않습니다. V2L 커넥터 또는 실내 콘센트의 조명이 켜졌는지 확인하십시오.
 클러스터 표시창에 V2L 관련 경고문이 표시되면, 해당 경고문 설명 내용을 확인하십시오. 다른 가전제품을 연결했을 때 이전과 동일하게 V2L이 작동되지 않으면, 가까운 지사 직영 하이테크센터나 블루핸즈에서 점검 및 정비를 받으십시오.5. 사용 종료 시 V2L 커넥터의 스위치(1)를 눌러조명(2)을 끄십시오. 조명(2)이 꺼지면 차량도어 잠금 해제 버튼을 눌러 충전 커넥터 잠금이 해제되면, V2L 커넥터를 분리하십시오. 
 충전구 커버가 열린 후 60초 이내에 V2L 커넥터를 충전구에 연결하십시오. 체결 후 도난 방지를 위해 자동 잠금으로 전환되어 커넥터 분리가 불가능합니다.V2L 사용시에는 예약 공조 설정을 해제하여 주십시오. 예약 공조 동작 조건에 의하여 V2L 동작이 차단될 수 있습니다.
실내
1. 시동 ‘ON’ 또는 유틸리티 모드 활성화 상태에서 뒷좌석 시트 하단의 실내 콘센트에 연결합니다.
2. 사용 전 스마트 키를 활용하여 커버의 잠금장치를 해제하십시오. 
3. 콘센트의 전면 인디게이터를 통해 작동 상태를 확인할 수 있습니다. 
 블루: 사용 대기 상태 레드: 콘센트가 연결되어 있으나 전력 공급은 되지 않는 상태 그린: 콘센트가 정상 연결되어 전력이 정상적으로 공급되어지는 상태
  시동 ‘ON’ 상태에서 실내 V2L 사용 중 시동이 꺼지면 자동으로 V2L 방전모드가 중지됩니다.  실내 V2L 사용 중 충전 도어를 열거나 V2L커넥터를 충전구에 연결하면 자동으로 V2L방전 모드가 차단됩니다. 차량 내/외부에서동시에 V2L 사용을 원할 경우 먼저 V2L 커넥터를 충전구에 연결 후 실내 V2L을 사용하십시오.
 사고 방지를 위하여 매뉴얼의 내용을 충분히숙지하십시오. 과열 시 자동으로 V2L 방전 모드가 차단됩니다. (방전 모드 차단 시 V2L 커넥터, 전원 플러그의 오염, 마모, 부식, 파손 여부를 점검하십시오. 일정 시간 방치 후 적정 온도로 떨어지면 다시 사용할 수 있습니다. 정상 가전 제품을 사용하십시오.)  제공된 V2L 커넥터를 임의로 개조, 분해하지마십시오. 개조, 분해로 인한 고장은 보증하지 않습니다. V2L 커넥터를 떨어뜨리거나, 강한 충격을 주지 마십시오. V2L 커넥터 위에 물건을 올려 놓지 마십시오. V2L 사용 종료 시 반드시 V2L 커넥터를 차량에서 분리하십시오.  고전압 배터리 충전량이 설정한 방전 제한량(%)에 도달하면 동작이 중지되며 클러스터표시창에 경고문이 표시됩니다. V2L 동작을원하는 경우 방전 제한량을 현재 배터리 충전량보다 낮추어 설정 하십시오 각종 전기 제품 사용 시, 차량에서 공급 가능한 최대 전력 용량 이하로 사용하십시오. 차량에서 공급 가능한 최대 전력 용량을 초과하는 전기 제품을 사용할 경우 동작이 정지되며 클러스터 표시창에 경고문이 표시됩니다. 사용하는 전기 제품의 총 소비 전력이V2L 최대 전력 용량을 초과하는지 확인하십시오. 일부 전기 제품 중 차량에서 제공하는 최대전력 용량 이하의 소비 전력을 가지는 제품이라도 정상적으로 작동하지 않을 수 있습니다.- 초기 작동 시 높은 전력을 필요로 하는 전기 제품- 정확한 데이터를 처리해야 하는 측정 장치- 인버터 방식의 AC 전원 공급 장치에 민감한 전기 제품(인버터 : DC 전원을 AC 전원으로 변환하는 장치)
 의료장비 등 지속적인 전원 공급을 필요로하는 제품은 사용하지 마십시오. 차량 상태에 따라 전원공급이 중단될 수 있습니다. 전원 플러그는 완전히 삽입하고 규격에 맞는플러그만 사용하십시오. 마모, 부식, 파손 등손상된 플러그를 사용하거나 규격에 맞지 않는 플러그를 사용하면 고장의 원인이 됩니다. 접지가 있는 전원 플러그를 사용하십시오. 가전제품을 전선에 매달아 사용하지 마십시오. 콘센트에 연결하여 사용하는 각종 기기는 국가의 안전 인증을 받은 제품만 사용하십시오. 사용방법, 주의 사항은 해당 기기의 매뉴얼을 참고하십시오. (전기 제품, 멀티 콘센트, 코드 연장 케이블 등) 차량 실외에서 사용하는 각종 기기는 방수기능이 적용된 제품을 사용하거나, 방수 조치된 환경에서 사용하십시오. 빗물이 떨어지거나, 습기가 많은 환경에서 사용하지 마십시오. (전기 제품, 멀티 콘센트, 코드 연장 케이블 등) 낙뢰(번개)가 칠 우려가 있을 경우에는 차량실외 V2L 기능을 사용하지 마십시오. 이동형 멀티 콘센트를 여러 개 연결하여 사용하지 마십시오. 코드 연장 케이블 사용 시, 케이블이 감겨 있는 경우 발열로 인한 화재의 위험성이 있으므로, 반드시 케이블을 풀어서 사용하십시오.  차량 실외 V2L 커넥터 사용 시, 차량 실내 콘센트에도 전원이 공급됩니다. 사용하지 않는전기 제품은 실내 콘센트에서 플러그를 뽑아주십시오 V2L 사용 시 시동이 꺼져 있더라도 차량 모터룸 내의 냉각 팬이 자동으로 작동할 수 있습니다. V2L 동작 상태에서 냉각 팬에 손을 가까이하지 마십시오.
 V2L 커넥터 또는 차량의 충전구 단자 부위를손으로 직접 만지지 마십시오. V2L 커넥터 또는 차량 충전구에 금속 물체를꽂지 마십시오. 감전의 원인이 됩니다. V2L 커넥터, 차량 충전구, 전원 플러그를 젖은 손으로 만지지 마십시오. 감전의 원인이됩니다. 항상 물기나 습기가 없는 건조한 상태로 관리하십시오. V2L 커넥터, 차량 충전구, 전원 플러그에 물이나 먼지 등의 이물질이 없는지 확인 후 연결하십시오. 이물질이 들어간 채 연결하면화재, 감전의 원인이 됩니다.  V2L 커넥터를 개조, 분해하지 마십시오. 화재, 감전, 부상의 위험이 있습니다. 전원 플러그를 V2L 커넥터에 연결하거나 분리할 때 또는 V2L 커넥터 커버 개폐 시 날카로운 부위에 손이 긁힐 우려가 있으니 주의하십시오.
 다음과 같은 경우에는 충전하지 마십시오.안전사고가 발생할 수 있습니다.- V2L 커넥터, 차량 충전구, 전원 플러그 및케이블에 손상, 부식, 녹이 있는 경우- 연결 부위가 느슨한 경우 가전제품 케이블의 피복이 손상되거나 파손의 징후가 있다면 사용하지 마십시오. 화재,감전, 부상의 위험이 있습니다. 차량 실내에서 전열 전기 제품(전기 주전자,토스트기, 다리미 등)을 사용하지 마십시오.화재, 부상의 위험이 있습니다. ",,
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:전기 사용 설정 (V2L)
클러스터 표시창 경고문
방전 가능 배터리량에 도달하여 V2L을 종료합니다
현재의 고전압 배터리 충전량이 설정한 방전 제한량(%)에 도달하면 동작이 중지되며 경고문이 표시됩니다. V2L 동작을 원하는 경우 방전제한량을 현재 배터리 충전량(%)보다 낮추어설정 하십시오. 
사용 전력 초과로 V2L 기능이 중지됩니다
차량에서 공급 가능한 최대 전력 용량을 초과하는 전기 제품을 사용할 경우 동작이 정지되며경고문이 표시됩니다. 사용하는 전기 제품의총 소비 전력이 V2L 최대 전력 용량을 초과하는지 확인하십시오.
V2L 작동 조건이 아닙니다
다음과 같은 원인으로 V2L이 중단된 경우, 경고문이 표시됩니다. V2L 커넥터 스위치 꺼짐 V2L 커넥터 과열 V2L 실내 콘센트 사용 중 충전 도어 열림V2L 커넥터 및 차량 실내 콘센트에 문제가 없는지 확인하십시오. ",전기차의 V2L 기능이 중지되는 경우에는 어떤 상황이 있을까요?,"전기차의 V2L 기능이 중지되는 경우에는 현재의 고전압 배터리 충전량이 설정한 방전 제한량에 도달하거나, 차량에서 공급 가능한 최대 전력 용량을 초과하는 전기 제품을 사용할 경우에 중지됩니다. 또한, V2L 커넥터 스위치가 꺼져있거나 과열되거나, V2L 실내 콘센트 사용 중 충전 도어가 열려있는 경우에도 중지될 수 있습니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:충전소 검색
충전소 검색
화면에서 ‘지도’를 선택하면 전기차 충전소의실시간 정보를 바로 확인할 수 있습니다.
화면에서 ‘충전소 검색’을 선택하십시오. 
경로 주변, 현재 위치 주변, 목적지 주변, 선택지 주변 또는 관심 충전소가 검색됩니다. 원하는 충전소를 선택하면 해당 충전소의 상세 정보를 볼 수 있습니다.
  블루링크 서비스를 가입하면 충전소 사용 가능 여부가 표시됩니다. 차량 내 결제 앱의 현대 카페이 기능을 통해제휴 충전소나 주차장에서 실물 카드 없이편리하게 결제할 수 있습니다.인포테인먼트 시스템은 업데이트로 변경될수 있습니다. 자세한 내용은 인포테인먼트시스템 또는 간편 설명서의 웹 매뉴얼을 참고하십시오. ",어떻게 전기차 충전소의 실시간 정보를 확인할 수 있나요?,전기차 충전소의 실시간 정보를 확인하기 위해서는 화면에서 '지도'를 선택하면 됩니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:EV 설정
EV 설정
화면에서 ‘EV 설정’을 선택하십시오.충전 목표 배터리량, 충전 전류, 배터리 컨디셔닝 모드 및 유틸리티 모드 기능을 설정할 수 있습니다. ",전기차 시작하기 설명서의 어떤 기능을 설정할 수 있습니까?,"충전 목표 배터리량, 충전 전류, 배터리 컨디셔닝 모드 및 유틸리티 모드 기능을 설정할 수 있습니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:EV 설정
충전 목표 배터리량 설정
 급속 충전이나 완속 충전할 때, 배터리 목표충전량을 설정하여 운전자가 원하는 최종 충전량을 선택할 수 있습니다.
 50 ~ 100% 까지 10% 단위로 배터리 충전량을 변경할 수 있습니다. 배터리 목표 충전량이 현재 배터리 충전량보다 낮을 경우 충전할 수 없습니다.",전기차 설명서에서 배터리 목표 충전량을 설정하는 방법은 무엇인가요?,"전기차 설명서에서 배터리 목표 충전량을 설정하는 방법은 급속 충전이나 완속 충전할 때, 배터리 목표충전량을 설정하여 운전자가 원하는 최종 충전량을 선택할 수 있습니다. 배터리 목표 충전량은 50 ~ 100%까지 10% 단위로 변경할 수 있으며, 현재 배터리 충전량보다 낮을 경우 충전할 수 없습니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:EV 설정
충전 전류 설정
 완속 충전을 할 때 고정용 또는 휴대용 충전케이블에 적합한 완속 충전 전류를 선택할수 있습니다. 완속 충전기 또는 휴대용 충전 케이블로 충전할 때 충전이 되지 않거나 충전이 중단되면 입력 전류 크기를 조정하여 충전을 다시해보십시오. 충전 전류 설정에 따라 충전 시간이 달라질수 있습니다.",전기차를 완속 충전할 때 충전 전류를 어떻게 선택할 수 있나요?,완속 충전을 할 때 고정용 또는 휴대용 충전케이블에 적합한 완속 충전 전류를 선택할 수 있습니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:EV 설정
배터리 컨디셔닝 모드
 배터리 컨디셔닝 모드는 구동용(고전압) 배터리의 온도가 낮아 성능이 떨어지는 겨울철에 유용한 기능입니다. 겨울철 주행 성능과급속 충전 성능 유지를 위해 배터리 컨디셔닝 모드의 사용을 권장합니다. 단, 배터리의온도를 높이기 위해서 에너지를 소모하기 때문에 주행 가능 거리가 짧아질 수 있습니다. 배터리 컨디셔닝 모드는 주행 중에 배터리의온도가 낮으면 적정 온도까지 배터리 온도를높여줍니다. 또한, 주행 전 예약 공조 및 원격공조를 실행할 때 배터리 온도가 낮으면 주행 성능을 향상시키기 위해 배터리 컨디셔닝모드가 작동됩니다. 단, 배터리 충전량이 낮은 경우 주행 가능 거리 확보를 위해 작동하지 않습니다.
 배터리 컨디셔닝 모드에서 급속 충전소를 목적지로 설정하면, 배터리 온도를 최적화하여 충전 시간을 상온에서 충전하는 수준으로 유지시킬 수 있습니다.단, 배터리 온도를 최적화 하는데 충분한 시간이 필요합니다. ",전기차의 배터리 컨디셔닝 모드는 어떤 기능을 가지고 있나요?,"배터리 컨디셔닝 모드는 구동용 배터리의 온도가 낮아 성능이 떨어지는 겨울철에 유용한 기능으로, 주행 중에 배터리의 온도를 높여줌으로써 주행 성능을 향상시키고, 주행 전 예약 공조 및 원격 공조를 실행할 때 배터리 온도가 낮으면 주행 성능을 향상시키기 위해 작동됩니다. 단, 배터리 충전량이 낮은 경우 작동하지 않습니다."
